Codigo de hidrante;Distrito;Tipo de Calle;Direccion;Nº;CoordX ETRS89;CoordY ETRS89;Longitud;Latitud;direccion_completa
HI_01_0133;CENTRO;CALLE;TOLEDO;123;439660,23;4473232,09;-3.7111308;40.4075182;CALLE TOLEDO, 123
HI_01_0134;CENTRO;CALLE;ARGUMOSA;26;440896,11;4473243,56;-3.6965675;40.4077102;CALLE ARGUMOSA, 26
HI_01_0135;CENTRO;CALLE;EMBAJADORES;54;440234,21;4473265,9;-3.7043698;40.4078642;CALLE EMBAJADORES, 54
HI_01_0136;CENTRO;CALLE;ENCOMIENDA;2;440195;4473611,47;-3.7048644;40.4109745;CALLE ENCOMIENDA, 2
HI_01_0137;CENTRO;TRAVESIA;CABESTREROS;9;440201,76;4473337,02;-3.7047589;40.4085026;TRAVESIA CABESTREROS, 9
HI_01_0138;CENTRO;CALLE;VALENCIA;7;440587,75;4473217,79;-3.700199;40.4074561;CALLE VALENCIA, 7
HI_01_0139;CENTRO;CALLE;AMPARO;92;440558,49;4473112,07;-3.7005339;40.4065017;CALLE AMPARO, 92
HI_01_0140;CENTRO;CALLE;MALLORCA;4;440776,55;4473173;-3.6979699;40.4070661;CALLE MALLORCA, 4
HI_01_0141;CENTRO;GLORIETA;EMBAJADORES;1;440393,42;4473006,01;-3.7024692;40.4055344;GLORIETA EMBAJADORES, 1
HI_01_0143;CENTRO;CALLE;REYES;18;439716,56;4475021,6;-3.7106365;40.423643;CALLE REYES, 18
HI_01_0144;CENTRO;CALLE;MARQUES DE CUBAS;15;440999,02;4474269,2;-3.6954498;40.416957;CALLE MARQUES DE CUBAS, 15
HI_01_0145;CENTRO;PLAZA;CORTES;10;440863,67;4474121,17;-3.6970313;40.4156139;PLAZA CORTES, 10
HI_01_0146;CENTRO;PLAZA;CRISTINO MARTOS;4;439627,52;4475237,84;-3.7117066;40.4255846;PLAZA CRISTINO MARTOS, 4
HI_01_0147;CENTRO;CARRERA;SAN JERONIMO;36;440757,31;4474206,57;-3.6982928;40.4163756;CARRERA SAN JERONIMO, 36
HI_01_0148;CENTRO;CALLE;NORTE;2;439969,36;4475249,45;-3.7076782;40.4257139;CALLE NORTE, 2
HI_01_0149;CENTRO;CALLE;SAN BERNARDO;66;440052;4475336,7;-3.7067123;40.4265058;CALLE SAN BERNARDO, 66
HI_01_0150;CENTRO;CALLE;DIVINO PASTOR;33;440211,27;4475475,2;-3.7048478;40.427765;CALLE DIVINO PASTOR, 33
HI_01_0151;CENTRO;PASEO;PRADO;4;441163,89;4474291,72;-3.6935087;40.4171715;PASEO PRADO, 4
HI_01_0152;CENTRO;CALLE;ESPIRITU SANTO;28;440301,37;4475216,74;-3.7037614;40.4254431;CALLE ESPIRITU SANTO, 28
HI_01_0153;CENTRO;CALLE;SAN JOAQUIN;10;440502,04;4475126,25;-3.7013875;40.4246423;CALLE SAN JOAQUIN, 10
HI_01_0154;CENTRO;CALLE;MARQUES DE SANTA ANA;2;440152,25;4475050,83;-3.7055036;40.4239378;CALLE MARQUES DE SANTA ANA, 2
HI_01_0155;CENTRO;CALLE;MADERA;21;440217,9;4474966,12;-3.7047218;40.4231794;CALLE MADERA, 21
HI_01_0156;CENTRO;CALLE;HORTALEZA;104;440818,74;4475180,94;-3.6976595;40.4251576;CALLE HORTALEZA, 104
HI_01_0157;CENTRO;CALLE;LEGANITOS;1;439814,14;4474705,68;-3.7094564;40.4208042;CALLE LEGANITOS, 1
HI_01_0158;CENTRO;CUESTA;SANTO DOMINGO;7;439805,02;4474582,33;-3.7095522;40.4196923;CUESTA SANTO DOMINGO, 7
HI_01_0159;CENTRO;CALLE;SAN QUINTIN;6;439571,62;4474561,97;-3.7123013;40.419492;CALLE SAN QUINTIN, 6
HI_01_0160;CENTRO;COSTANILLA;ANGELES;2;439875,1;4474382,58;-3.7087073;40.4178979;COSTANILLA ANGELES, 2
HI_01_0161;CENTRO;CALLE;INDEPENDENCIA;3;439761,85;4474373,62;-3.7100413;40.417809;CALLE INDEPENDENCIA, 3
HI_01_0162;CENTRO;CALLE;MAYOR;70;439727,98;4474128,19;-3.7104172;40.4155956;CALLE MAYOR, 70
HI_01_0163;CENTRO;CALLE;MARQUES DE LEGANES;16;439977,32;4474857,65;-3.7075474;40.422185;CALLE MARQUES DE LEGANES, 16
HI_01_0164;CENTRO;CALLE;SILVA;15;440076,38;4474761,08;-3.7063706;40.4213222;CALLE SILVA, 15
HI_01_0165;CENTRO;CALLE;DESENGAÃ‘O;16;440322,72;4474719,09;-3.7034631;40.4209616;CALLE DESENGAÃ‘O, 16
HI_01_0166;CENTRO;CALLE;VALVERDE;14;440452,17;4474766,02;-3.7019416;40.4213936;CALLE VALVERDE, 14
HI_01_0167;CENTRO;CALLE;REINA;1;440549,1;4474670,56;-3.7007902;40.4205406;CALLE REINA, 1
HI_01_0168;CENTRO;CALLE;FUENCARRAL;43;440552,13;4474941,32;-3.7007798;40.42298;CALLE FUENCARRAL, 43
HI_01_0169;CENTRO;CALLE;JACOMETREZO;10;439944,02;4474647,58;-3.70792;40.4202902;CALLE JACOMETREZO, 10
HI_01_0170;CENTRO;CALLE;JACOMETREZO;2;440028,61;4474645,31;-3.7069228;40.4202758;CALLE JACOMETREZO, 2
HI_01_0171;CENTRO;CALLE;TRES CRUCES;3;440358,36;4474528,94;-3.7030252;40.4192512;CALLE TRES CRUCES, 3
HI_01_0172;CENTRO;CALLE;CABALLERO DE GRACIA;22;440623,76;4474531,24;-3.6998972;40.4192909;CALLE CABALLERO DE GRACIA, 22
HI_01_0173;CENTRO;PLAZA;TIRSO DE MOLINA;19;440282,77;4473773,58;-3.7038452;40.4124411;PLAZA TIRSO DE MOLINA, 19
HI_01_0174;CENTRO;PLAZA;PEDRO ZEROLO;1;440631,47;4474704,18;-3.6998225;40.4208494;PLAZA PEDRO ZEROLO, 1
HI_01_0175;CENTRO;PLAZA;PEDRO ZEROLO;12;440691,85;4474679,68;-3.6991085;40.420633;PLAZA PEDRO ZEROLO, 12
HI_01_0176;CENTRO;CALLE;AUGUSTO FIGUEROA;41;440877,58;4474839,38;-3.6969341;40.4220848;CALLE AUGUSTO FIGUEROA, 41
HI_01_0177;CENTRO;CALLE;COLMENARES;11;440892,48;4474707,11;-3.6967462;40.4208943;CALLE COLMENARES, 11
HI_01_0178;CENTRO;PLAZA;REY;5;440968,87;4474608,19;-3.6958366;40.4200086;PLAZA REY, 5
HI_01_0179;CENTRO;CALLE;PRIM;21;441242,03;4474819,43;-3.6926365;40.4219309;CALLE PRIM, 21
HI_01_0180;CENTRO;CALLE;ALMIRANTE;9;441073,13;4474890,31;-3.6946339;40.4225575;CALLE ALMIRANTE, 9
HI_01_0181;CENTRO;CALLE;DUQUE DE ALBA;1;440149,25;4473720,01;-3.7054138;40.411949;CALLE DUQUE DE ALBA, 1
HI_01_0182;CENTRO;CALLE;OLMO;4;440522,73;4473667,57;-3.7010072;40.4115033;CALLE OLMO, 4
HI_01_0183;CENTRO;CALLE;MAGDALENA;15;440454,71;4473765,98;-3.7018181;40.412385;CALLE MAGDALENA, 15
HI_01_0184;CENTRO;CALLE;EL SALVADOR;6;440064,84;4473963,84;-3.7064315;40.4141394;CALLE EL SALVADOR, 6
HI_01_0185;CENTRO;CALLE;ATOCHA;16;440288,64;4473968,1;-3.7037943;40.4141939;CALLE ATOCHA, 16
HI_01_0186;CENTRO;CALLE;DOCTOR CORTEZO;6;440291,25;4473900,82;-3.7037572;40.413588;CALLE DOCTOR CORTEZO, 6
HI_01_0187;CENTRO;PLAZA;ANGEL;11;440434,1;4473973,19;-3.7020804;40.4142502;PLAZA ANGEL, 11
HI_01_0188;CENTRO;CALLE;TOLEDO;59;439917,1;4473661,81;-3.7081442;40.4114079;CALLE TOLEDO, 59
HI_01_0189;CENTRO;CALLE;ATOCHA;59;440642,57;4473796,86;-3.699607;40.4126766;CALLE ATOCHA, 59
HI_01_0190;CENTRO;CALLE;CERVANTES;15;440857,37;4473980,43;-3.6970925;40.4143456;CALLE CERVANTES, 15
HI_01_0191;CENTRO;CALLE;HUERTAS;47;440856,12;4473866,05;-3.6970966;40.4133151;CALLE HUERTAS, 47
HI_01_0192;CENTRO;CALLE;ATOCHA;70;440802,76;4473672,09;-3.6977074;40.411564;CALLE ATOCHA, 70
HI_01_0193;CENTRO;CALLE;LOPE DE VEGA;47;441051,36;4473920,57;-3.6948006;40.4138201;CALLE LOPE DE VEGA, 47
HI_01_0194;CENTRO;PASEO;PRADO;20;441125,34;4473893,66;-3.6939262;40.4135829;PASEO PRADO, 20
HI_01_0195;CENTRO;PASEO;PRADO;18;441142,21;4473837,87;-3.6937222;40.4130815;PASEO PRADO, 18
HI_01_0196;CENTRO;CALLE;ATOCHA;125;441187,71;4473461,34;-3.6931512;40.4096928;CALLE ATOCHA, 125
